name,race,gen,pctwhite,pcthisp,pctblack,pctapi,pctna,pct2race,White,African American,Hispanic,Asian,distinctiveness
diane,white,F,94.47,1.643,2.464,1.246,0.096,0.082,3.745993,2.696788,2.385871,2.418808,1.049204429
diego,hispanic,M,15.152,83.333,0,1.01,0,0.505,2.462666,2.506443,3.8185,2.094115,1.312057206
dionne,black,F,53.846,3.846,39.744,2.564,0,0,2.611106,3.023349,2.46288,2.165561,0.412242639
dolly,white,F,62.338,2.597,6.494,25.974,1.299,1.299,3.90131,2.065496,2.333441,2.280084,1.567869553
dolores,white,F,70.308,21.475,4.669,3.081,0.187,0.28,3.602363,2.718294,2.823313,2.282145,0.779049709
domingo,hispanic,M,7.285,74.172,1.325,17.219,0,0,2.233204,2.69755,3.560802,2.406675,0.863251315
dominic,hispanic,M,89.199,4.878,1.568,4.355,0,0,3.115783,3.258448,3.474548,2.112229,0.21609949
dominique,hispanic,F,72.993,7.299,16.058,2.92,0,0.73,2.587273,3.292191,3.381093,2.11644,0.088901361
don,white,M,87.63,0.798,3.831,7.422,0.239,0.08,3.890027,2.806199,2.571211,2.691607,1.083827137
donald,white,M,95.057,0.722,3.251,0.722,0.166,0.083,3.798931,2.777902,2.068912,2.029443,1.021028947
donna,white,F,95.083,1.126,2.609,0.937,0.1,0.145,3.80055,2.881307,2.463232,2.4263,0.919242548
donnell,black,M,47.917,0,52.083,0,0,0,2.955863,3.562941,2.577207,2.015516,0.607078256
donnie,white,M,83.197,0.82,13.115,2.049,0.82,0,3.642748,2.804304,2.437895,2.080576,0.838444091
donny,white,M,78.846,0,7.692,13.462,0,0,3.735241,2.714144,2.531682,2.181974,1.021097335
dora,hispanic,F,38.86,48.446,7.772,4.663,0.259,0,3.206927,2.446038,3.442515,2.393658,0.23558805
doris,white,F,76.276,6.306,13.438,3.378,0.225,0.375,3.691226,2.738776,2.465856,2.26753,0.952450391
dorothy,white,F,82.86,1.71,13.175,1.671,0.35,0.233,3.734017,2.800975,2.080521,2.402448,0.933042206
douglas,white,M,96.767,0.788,1.211,1.011,0.082,0.141,3.759725,2.958699,2.437101,2.128808,0.801026702
duane,black,M,92.188,0.608,5.556,1.389,0.174,0.087,2.808161,3.254333,2.308586,2.229677,0.446172637
duke,white,M,61.702,4.255,0,31.915,0,2.128,3.659101,2.601182,2.225466,2.177423,1.057918661
dustin,white,M,97.116,0.848,0.254,1.187,0.424,0.17,3.863147,2.413161,1.975395,2.188107,1.449985845
dwayne,black,M,74.795,0.82,23.156,0.82,0.41,0,3.220912,3.452269,2.2868,2.182481,0.231356647
dwight,white,M,79.006,1.122,16.667,3.045,0,0.16,3.508408,2.908194,2.043508,1.989448,0.600213763
dylan,white,M,94.059,0.99,1.485,3.465,0,0,3.682031,2.573878,2.191518,2.388383,1.108153496
earl,white,M,83.828,0.716,13.408,1.842,0.102,0.102,3.511955,2.850063,2.2912,2.214315,0.661892388
earnest,white,M,56.18,0,40.449,2.247,0,1.124,3.490693,2.818581,2.679456,2.129882,0.672111883
ebony,black,F,5.172,3.448,87.931,1.724,1.724,0,2.011937,3.666268,2.379904,2.022831,1.28636386
eddie,white,M,50.144,12.536,24.64,12.248,0.144,0.288,3.658232,2.962746,2.702948,2.479802,0.695486336
edgar,white,M,38.778,50.059,3.878,6.58,0.47,0.235,3.362461,2.690661,3.13212,2.535741,0.230340475
edgardo,hispanic,M,10.484,50.806,0,38.71,0,0,2.394383,2.727132,3.946796,2.105227,1.219664076
edith,white,F,69.551,16.667,9.455,4.006,0.16,0.16,3.769328,2.654753,2.19839,2.101125,1.114575455
edmond,white,M,73.659,2.927,7.805,15.61,0,0,3.432331,2.780729,2.536133,2.296336,0.651602357
edmund,white,M,83.7,4.846,4.185,7.048,0,0.22,3.5491,2.88396,2.72913,2.173926,0.665139587
edna,white,F,61.087,11.957,12.609,13.478,0.435,0.435,3.549576,2.841435,2.700729,2.278288,0.708141046
eduardo,hispanic,M,10.428,78.814,0.329,10.318,0,0.11,2.281092,2.221651,3.763192,2.151281,1.482100255
edward,white,M,89.221,4.144,3.422,2.937,0.148,0.129,3.754635,2.739532,2.893746,2.321033,0.860888573
edwin,white,M,67.41,19.675,4.665,7.978,0.068,0.203,3.567968,2.800993,2.72923,2.435783,0.76697553
efrain,black,M,5.634,93.427,0,0.939,0,0,2.390751,3.064766,3.027406,2.263497,0.037359846
eileen,white,F,94.485,2.068,0.935,2.314,0.098,0.098,3.813451,2.646195,2.520609,2.43672,1.167255674
elaine,white,F,87.775,2.073,4.484,5.499,0.085,0.085,3.778228,2.613793,2.339669,2.344861,1.164434859
eleanor,white,F,82.603,3.536,7.355,6.223,0,0.283,3.635244,2.601356,2.414036,2.259351,1.033887574
elena,white,F,65.028,27.107,0.983,6.461,0.14,0.281,3.648235,2.607067,3.173641,2.427041,0.474593768
elias,hispanic,M,43.73,48.232,4.502,3.215,0.322,0,2.795984,3.002409,3.187588,2.185715,0.1851792
elijah,black,M,55.102,3.061,36.735,4.082,0,1.02,2.983621,3.089832,2.676579,2.19221,0.10621083
elisa,white,F,65.842,25.495,1.98,6.436,0.248,0,3.373963,2.725171,2.973476,2.496264,0.400487279
eliseo,hispanic,M,1.942,87.379,0,10.68,0,0,2.267318,2.631541,3.410229,2.444912,0.778688073
elizabeth,white,F,90.547,5.967,1.523,1.759,0.102,0.102,3.611212,2.547642,2.532489,2.151336,1.063569696
ella,white,F,67.511,1.688,25.738,3.797,1.266,0,3.466873,2.791574,3.023184,2.421811,0.443688966
ellen,white,F,94.971,0.729,1.239,2.915,0.109,0.036,3.80302,2.340811,2.329856,2.329093,1.462209793
elmer,white,F,63.75,20.937,7.5,6.875,0.625,0.313,3.443253,2.70039,2.671693,2.121755,0.742862284
eloy,black,M,7.143,88.095,1.19,2.381,1.19,0,2.422821,2.711337,2.669645,2.448541,0.041691631
elsa,white,F,32.99,56.014,4.124,6.529,0.344,0,3.197299,2.38063,2.811561,2.336746,0.385737678
elva,hispanic,F,27.068,71.429,0.752,0.752,0,0,3.046563,2.748301,3.249511,2.454831,0.202947808
elvia,hispanic,F,7.246,89.13,2.899,0.725,0,0,2.607519,2.959689,3.484296,2.419867,0.524607163
elvira,hispanic,F,30.962,50.209,3.766,14.644,0,0.418,2.989142,2.774639,3.137593,2.139097,0.148450395
elvis,white,M,21.429,44.048,23.81,9.524,0,1.19,3.524587,2.366924,2.573954,2.109337,0.9506329
emilio,hispanic,M,21.026,74.359,1.026,3.077,0,0.513,2.302427,2.393992,3.623457,2.083213,1.229465578
emily,white,F,92.026,1.673,1.709,4.201,0.142,0.249,3.874425,2.242067,2.49856,2.535403,1.339021821
emma,white,F,54.511,24.436,14.098,6.203,0.752,0,3.912463,2.504308,2.417771,2.281318,1.408154739
